idx	name	frames	level	room	what
369	l7_2a	927	7	2a	"lambda nav: bomb_policy(nav, ""Right"", 0x2A), lambda emu, s: s.hearts > 0 and s.room == 0x2A and s.level == 7, 40"
370	l7_aqua	212	7	2a	lambda nav: make_lafight_policy(nav, None), lambda emu, s: s.hearts > 0 and s.room == 0x2A and emu.byte(0x34D) != 0, 60
371	l7_heart	98	7	2a	lambda nav: make_grab_policy(nav, None), lambda emu, s: s.hearts > 0 and s.room == 0x2A and read_room_item(emu) is None, 30
372	L7_done	1126	0	2b	"lambda nav: triforce_policy(nav, 0x40, ""Right""), lambda emu, s: bool(emu.byte(0x671) & 0x40), 12"
373	warp_L7	102	0	42	warp_policy, lambda emu, s: s.mode == 5 and s.level == 0, 4
374	w8_52	278	0	52	cross Down -> room 0x52
375	w8_62	374	0	62	"lambda nav: make_cross_at_policy(nav, ""Down"", at=160), lambda emu, s: s.hearts > 0 and s.mode == 5 and s.room == 0x62 and s.x >= 140, 40"
376	w8_63	205	0	63	
377	w8_64	500	0	64	
378	w8_65	458	0	65	
379	w8_66	541	0	66	
380	w8_67	427	0	67	
381	w8_68	463	0	68	
382	w8_69	523	0	69	
383	w8_6a	415	0	6a	
384	w8_6b	347	0	6b	
385	w8_6c	404	0	6c	
386	n8_6b	109	0	6b	
387	n8_7b	156	0	7b	
388	n8_7c	157	0	7c	
389	n8_7d	393	0	7d	
390	n8_7e	412	0	7e	
391	n8_7f	564	0	7f	
392	n8_6f	266	0	6f	
393	n8_6e	222	0	6e	
394	n8_6d	506	0	6d	
395	enter_L8	497	8	7e	"lambda nav: burn_entry_policy(nav, (192, 109), ""Left"", 8), lambda emu, s: s.level == 8 and s.mode == 5 and s.hearts > 0, 25"
396	l8_7f	373	8	7f	cross Right -> room 0x7F
397	l8_7f_key	1193	8	7e	"lambda nav: make_clear_grab_policy(nav, ""Left""), ok(0x7E, keys=2), 50"
398	l8_6e	289	8	6e	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x6E), 50"
399	l8_5e	580	8	5e	"lambda nav: bomb_policy(nav, ""Up"", 0x5E), lambda emu, s: s.hearts > 0 and s.room == 0x5E and s.level == 8, 40"
400	l8_5e_key	1380	8	5d	"lambda nav: make_clear_grab_policy(nav, ""Left""), ok(0x5D, keys=3), 50"
401	l8_5d_key	1314	8	5c	"lambda nav: make_clear_grab_policy(nav, ""Left""), ok(0x5C, keys=4), 50"
402	l8_5c_key	684	8	5d	"lambda nav: make_clear_grab_policy(nav, ""Right""), ok(0x5D, keys=5), 50"
403	l8_4d	318	8	4d	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x4D), 50"
404	l8_4e	343	8	4e	cross Right -> room 0x4E
405	l8_3e	329	8	3e	cross Up -> room 0x3E
406	l8_2e	603	8	2e	"lambda nav: bomb_policy(nav, ""Up"", 0x2E), lambda emu, s: s.hearts > 0 and s.room == 0x2E and s.level == 8, 40"
407	l8_1e	317	8	1e	cross Up -> room 0x1E
408	l8_b2e	185	8	2e	cross Down -> room 0x2E
409	l8_b3e	353	8	3e	cross Down -> room 0x3E
410	o8_4e	248	8	4e	
411	o8_5e	504	8	5e	
412	o8_6e	279	8	6e	
413	o8_7e	333	8	7e	
414	o8_out	224	0	6d	"lambda nav: make_cross_policy(nav, ""Down""), lambda emu, s: s.level == 0 and s.mode == 5 and s.hearts > 0, 30"
415	m8_6c	291	0	6c	cross Left -> room 0x6C
416	m8_5c	149	0	5c	"lambda nav: make_cross_at_policy(nav, ""Up"", at=192), lambda emu, s: s.hearts > 0 and s.mode == 5 and s.room == 0x5C and s.x >= 176, 40"
417	m8_5d	191	0	5d	cross Right -> room 0x5D
418	m8_6d	380	0	6d	"lambda nav: make_cross_at_policy(nav, ""Down"", at=192), lambda emu, s: s.hearts > 0 and s.mode == 5 and s.room == 0x6D and s.x >= 176, 40"
419	m8_6e	193	0	6e	
420	m8_6f	438	0	6f	
421	m8_7f	244	0	7f	
422	m8_7e	290	0	7e	
423	m8_7d	491	0	7d	
424	m8_7c	433	0	7c	
425	m8_7b	380	0	7b	
426	m8_6b	195	0	6b	
427	cave_6b	1127	0	6b	"lambda nav: burn_cave_policy(nav, (128, 141), ""Down""), lambda emu, s: s.hearts > 0 and s.level == 0 and emu.byte(0x66D) >= 80, 25"
428	s8_7b	226	0	7b	
429	s8_7c	163	0	7c	
430	s8_7d	385	0	7d	
431	s8_7e	303	0	7e	
432	s8_7f	313	0	7f	
433	s8_6f	195	0	6f	
434	r8_6e	192	0	6e	cross Left -> room 0x6E
435	r8_6d	434	0	6d	cross Left -> room 0x6D
436	r8_in	802	8	7e	"lambda nav: burn_entry_policy(nav, (192, 109), ""Left"", 8), lambda emu, s: s.level == 8 and s.mode == 5 and s.hearts > 0, 25"
437	r8_6e2	255	8	6e	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x6E), 50"
438	r8_5e	596	8	5e	"lambda nav: bomb_policy(nav, ""Up"", 0x5E), lambda emu, s: s.hearts > 0 and s.room == 0x5E and s.level == 8, 40"
439	r8_5d	1221	8	5d	"lambda nav: make_lafight_policy(nav, ""Left""), ok(0x5D), 50"
440	r8_4d	836	8	4d	cross Up -> room 0x4D
441	r8_4e	334	8	4e	cross Right -> room 0x4E
442	r8_3e	438	8	3e	cross Up -> room 0x3E
443	r8_3f	1475	8	3f	"lambda nav: make_lafight_policy(nav, ""Right""), ok(0x3F), 50"
444	r8_3f_bombs	865	8	3f	lambda nav: make_clear_grab_policy(nav, None), lambda emu, s: s.hearts > 0 and s.room == 0x3F and s.bombs >= 4, 50
445	r8_3f_st	156	8	2f	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
446	r8_pass	375	8	4c	passage_policy, lambda emu, s: s.hearts > 0 and s.level == 8 and s.mode == 5 and s.room == 0x4C, 30
447	l8_4b	1658	8	4b	"lambda nav: bow_fight_policy(nav, ""Left""), ok(0x4B), 50"
448	l8_3b	767	8	3b	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x3B), 50"
449	l8_3c	1386	8	3c	"lambda nav: bomb_policy(nav, ""Right"", 0x3C), lambda emu, s: s.hearts > 0 and s.room == 0x3C and s.level == 8, 40"
450	l8_gleeok	1443	8	3c	lambda nav: gleeok_policy(nav, budget=10000), lambda emu, s: s.hearts > 0 and s.room == 0x3C and emu.byte(0x34D) != 0, 12
451	l8_heart	131	8	3c	lambda nav: make_grab_policy(nav, None), lambda emu, s: s.hearts > 0 and s.room == 0x3C and read_room_item(emu) is None, 30
452	L8_done	970	0	2c	"lambda nav: triforce_policy(nav, 0x80, ""Up""), lambda emu, s: bool(emu.byte(0x671) & 0x80), 12"
453	warp_L8	102	0	6d	warp_policy, lambda emu, s: s.mode == 5 and s.level == 0, 4
454	n9_6c	180	0	6c	cross Left -> room 0x6C
455	whirl_l5	661	0	0b	lambda nav: whirl_to_policy(nav, 0x0B), lambda emu, s: s.mode == 5 and s.level == 0 and s.room == 0x0B and s.hearts > 0, 20
456	n9_1b	178	0	1b	cross Down -> room 0x1B
457	n9_1a	272	0	1a	
458	n9_19	354	0	19	
459	n9_18	1209	0	18	
460	n9_17	1244	0	17	
461	h9_27	241	0	27	cross Down -> room 0x27
462	h9_28	304	0	28	cross Right -> room 0x28
463	h9_38	256	0	38	cross Down -> room 0x38
464	h9_48	218	0	48	
465	h9_58	256	0	58	
466	h9_59	253	0	59	
467	h9_49	407	0	49	
468	h9_39	501	0	39	
469	h9_heal	396	0	39	fairy_policy, lambda emu, s: s.hearts >= s.containers and s.mode == 5, 20
470	h9_b49	104	0	49	
471	h9_b59	763	0	59	
472	h9_b58	412	0	58	
473	h9_b48	245	0	48	
474	h9_b38	268	0	38	
475	h9_b28	209	0	28	cross Up -> room 0x28
476	h9_b27	265	0	27	cross Left -> room 0x27
477	h9_b17	237	0	17	cross Up -> room 0x17
478	n9_16	259	0	16	cross Left -> room 0x16
479	n9_15	417	0	15	cross Left -> room 0x15
480	n9_b16	109	0	16	
481	n9_b17	349	0	17	
482	n9_b07	238	0	07	
483	n9_b06	273	0	06	
484	n9_b05	662	0	05	
485	enter_L9	903	9	76	"lambda nav: bomb_entry_policy(nav, (80, 173), ""Up"", (80, 157), 9), lambda emu, s: s.level == 9 and s.mode == 5 and s.hearts > 0, 40"
486	l9_66	254	9	66	cross Up -> room 0x66
487	l9_56	265	9	56	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x56), 50"
488	l9_56_key	422	9	56	lambda nav: make_clear_grab_policy(nav, None), lambda emu, s: s.hearts > 0 and s.room == 0x56 and s.keys >= 5, 50
489	l9_55	388	9	55	"lambda nav: bomb_policy(nav, ""Left"", 0x55), lambda emu, s: s.hearts > 0 and s.room == 0x55 and s.level == 9, 40"
490	l9_55_st	550	9	60	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
491	l9_pass	421	9	14	passage_policy, lambda emu, s: s.hearts > 0 and s.level == 9 and s.mode == 5 and s.room != 0x55, 30
492	m9_15	1402	9	15	"lambda nav: bow_fight_policy(nav, ""Right""), ok(0x15), 50"
493	m9_16	1037	9	16	"lambda nav: make_lafight_policy(nav, ""Right""), ok(0x16), 50"
494	m9_16_bombs	991	9	16	lambda nav: make_clear_grab_policy(nav, None), lambda emu, s: s.hearts > 0 and s.room == 0x16 and s.bombs >= 4, 50
495	x9_15	333	9	15	cross Left -> room 0x15
496	x9_14	386	9	14	cross Left -> room 0x14
497	x9_st	598	9	60	stairs_here_policy, lambda emu, s: s.mode == 9 and s.hearts > 0, 40
498	x9_pass	389	9	55	passage_policy, lambda emu, s: s.level == 9 and s.mode == 5 and s.room == 0x55 and s.hearts > 0, 30
499	x9_out	1263	0	05	leave_dungeon_policy, lambda emu, s: s.level == 0 and s.mode == 5 and s.hearts > 0, 40
500	hc_w37	2523	0	37	lambda nav: whirl_to_policy(nav, 0x37, counter=0x0B), lambda emu, s: s.room == 0x37 and s.level == 0 and s.mode == 5 and s.hearts > 0, 30
501	hc_38	480	0	38	
502	hc_48	244	0	48	
503	hc_47	301	0	47	
504	hc_47_heart	840	0	47	"lambda nav: hc_cave_policy(nav, (176, 157), ""Down"", ""burn""), lambda emu, s: s.containers >= 12 and s.level == 0 and s.mode == 5 and s.hearts > 0, 40"
505	hc_w3c	788	0	3c	lambda nav: whirl_to_policy(nav, 0x3C, counter=0x37), lambda emu, s: s.room == 0x3C and s.level == 0 and s.mode == 5 and s.hearts > 0, 30
506	hc_b4c	238	0	4c	
507	hc_b4d	302	0	4d	
508	hc_b3d	159	0	3d	
509	hc_b2d	304	0	2d	
510	hc_b2c	222	0	2c	
511	hc_2c_heart	999	0	2c	"lambda nav: hc_cave_policy(nav, (176, 157), ""Left"", ""bomb""), lambda emu, s: s.containers >= 13 and s.level == 0 and s.mode == 5 and s.hearts > 0, 40"
512	ms_w22	2627	0	22	lambda nav: whirl_to_policy(nav, 0x22, counter=0x3C), lambda emu, s: s.room == 0x22 and s.level == 0 and s.mode == 5 and s.hearts > 0, 30
513	ms_32	263	0	32	
514	ms_31	450	0	31	
515	ms_21	161	0	21	
516	ms_sword	811	0	21	grave_sword_policy, lambda emu, s: s.sword >= 3 and s.level == 0 and s.mode == 5 and s.hearts > 0, 40
517	r9_w0b	445	0	0b	lambda nav: whirl_to_policy(nav, 0x0B, counter=0x22), lambda emu, s: s.room == 0x0B and s.level == 0 and s.mode == 5 and s.hearts > 0, 30
518	r9_1b	238	0	1b	
519	r9_1a	259	0	1a	
520	r9_19	397	0	19	
521	r9_18	1272	0	18	
522	r9_17	322	0	17	
523	r9_07	578	0	07	
524	r9_06	258	0	06	
525	r9_05	474	0	05	
526	r9_enter	889	9	76	"lambda nav: bomb_entry_policy(nav, (80, 173), ""Up"", (80, 157), 9), lambda emu, s: s.level == 9 and s.mode == 5 and s.hearts > 0, 40"
527	r9_66	254	9	66	cross Up -> room 0x66
528	r9_56	265	9	56	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x56), 50"
529	r9_55	340	9	55	"lambda nav: open_or_bomb_policy(nav, ""Left"", 0x55), lambda emu, s: s.hearts > 0 and s.room == 0x55 and s.level == 9, 40"
530	r9_55_st	890	9	60	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
531	r9_pass	421	9	14	passage_policy, lambda emu, s: s.hearts > 0 and s.level == 9 and s.mode == 5 and s.room != 0x55, 30
532	r9_15	1196	9	15	"lambda nav: bow_fight_policy(nav, ""Right""), ok(0x15), 50"
533	r9_16	809	9	16	"lambda nav: make_lafight_policy(nav, ""Right""), ok(0x16), 50"
534	s9_26	289	9	26	cross Down -> room 0x26
535	s9_25	325	9	25	cross Left -> room 0x25
536	rb_26	232	9	26	cross Right -> room 0x26
537	rb_16	290	9	16	cross Up -> room 0x16
538	rb_15	376	9	15	cross Left -> room 0x15
539	rb_14	386	9	14	cross Left -> room 0x14
540	rb_st	598	9	60	stairs_here_policy, lambda emu, s: s.mode == 9 and s.hearts > 0, 40
541	rb_pass	415	9	55	passage_policy, lambda emu, s: s.level == 9 and s.mode == 5 and s.room == 0x55 and s.hearts > 0, 30
542	rb_out	1530	0	05	leave_dungeon_policy, lambda emu, s: s.level == 0 and s.mode == 5 and s.hearts > 0, 40
543	rb_w45	979	0	45	lambda nav: whirl_to_policy(nav, 0x45, counter=0x0B), lambda emu, s: s.room == 0x45 and s.level == 0 and s.mode == 5 and s.hearts > 0, 30
544	rb_sail	252	0	55	dock_policy, lambda emu, s: s.room == 0x55 and s.mode == 5 and s.hearts > 0, 20
545	rb_land	72	0	55	lambda nav: settle_policy(nav, lambda q: q.y >= 125 and q.mode == 5), lambda emu, s: s.room == 0x55 and s.mode == 5 and s.y >= 125 and s.hearts > 0, 1
546	rb_shore	65	0	55	lambda nav: make_lareach_policy(nav, Goal(160, 173, 8)), lambda emu, s: s.room == 0x55 and s.mode == 5 and s.y >= 157 and s.hearts > 0, 40
547	rb_65	151	0	65	
548	rb_64	636	0	64	
549	rb_54	209	0	54	
550	rb_44	309	0	44	
551	rb_buy1	450	0	44	lambda nav: shop_policy(nav, 0x658, xs=(120,)), lambda emu, s: s.hearts > 0 and s.bombs >= 4, 25
552	rb_leave1	162	0	44	lambda nav: cave_exit_policy(nav), lambda emu, s: s.mode == 5 and s.level == 0 and s.hearts > 0, 20
553	rb_buy2	310	0	44	lambda nav: shop_policy(nav, 0x658, xs=(120,)), lambda emu, s: s.hearts > 0 and s.bombs >= 8, 25
554	rb_leave2	162	0	44	lambda nav: cave_exit_policy(nav), lambda emu, s: s.mode == 5 and s.level == 0 and s.hearts > 0, 20
555	rb_w0b	1671	0	0b	lambda nav: whirl_to_policy(nav, 0x0B, counter=0x45), lambda emu, s: s.room == 0x0B and s.level == 0 and s.mode == 5 and s.hearts > 0, 30
556	rb_r1b	238	0	1b	
557	rb_r1a	259	0	1a	
558	rb_r19	323	0	19	
559	rb_r18	1210	0	18	
560	rb_r17	316	0	17	
561	rb_r07	547	0	07	
562	rb_r06	258	0	06	
563	rb_r05	472	0	05	
564	rb_enter	702	9	76	"lambda nav: bomb_entry_policy(nav, (80, 173), ""Up"", (80, 157), 9), lambda emu, s: s.level == 9 and s.mode == 5 and s.hearts > 0, 40"
565	rb_66	254	9	66	cross Up -> room 0x66
566	rb_56	265	9	56	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x56), 50"
567	rb_55	342	9	55	"lambda nav: open_or_bomb_policy(nav, ""Left"", 0x55), lambda emu, s: s.hearts > 0 and s.room == 0x55 and s.level == 9, 40"
568	rb_55_st	619	9	60	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
569	rb_pass2	389	9	14	passage_policy, lambda emu, s: s.hearts > 0 and s.level == 9 and s.mode == 5 and s.room != 0x55, 30
570	rb_15b	1157	9	15	"lambda nav: bow_fight_policy(nav, ""Right""), ok(0x15), 50"
571	rb_16b	823	9	16	"lambda nav: make_lafight_policy(nav, ""Right""), ok(0x16), 50"
572	s9_06	301	9	06	cross Up -> room 0x06
573	s9_05	1370	9	05	"lambda nav: open_or_bomb_policy(nav, ""Left"", 0x05), lambda emu, s: s.hearts > 0 and s.room == 0x05 and s.level == 9, 40"
574	s9_05_st	896	9	70	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
575	s9_pass	407	9	63	passage_policy, lambda emu, s: s.hearts > 0 and s.level == 9 and s.mode == 5 and s.room != 0x05, 30
576	s9_53	258	9	53	cross Up -> room 0x53
577	s9_43	2753	9	43	"lambda nav: open_or_bomb_policy(nav, ""Up"", 0x43), lambda emu, s: s.hearts > 0 and s.room == 0x43 and s.level == 9, 40"
578	s9_43_text	602	9	43	lambda nav: settle_policy(nav, lambda q: False, max_wait=600), lambda emu, s: s.hearts > 0 and s.room == 0x43 and s.mode == 5, 10
579	s9_b53	174	9	53	cross Down -> room 0x53
580	s9_b63	1244	9	63	"lambda nav: bow_fight_policy(nav, ""Down""), ok(0x63), 50"
581	s9_62	347	9	62	cross Left -> room 0x62
582	s9_61	497	9	61	cross Left -> room 0x61
583	s9_patra	413	9	61	lambda nav: make_lafight_policy(nav, None), lambda emu, s: s.hearts > 0 and s.room == 0x61 and emu.byte(0x34D) != 0, 30
584	s9_61_st	264	9	75	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
585	s9_pass3	389	9	20	passage_policy, lambda emu, s: s.hearts > 0 and s.level == 9 and s.mode == 5 and s.room != 0x61, 30
586	s9_10	548	9	10	"lambda nav: open_or_bomb_policy(nav, ""Up"", 0x10), lambda emu, s: s.hearts > 0 and s.room == 0x10 and s.level == 9, 40"
587	s9_10_st	1286	9	4f	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
588	s9_silver	798	9	10	lambda nav: cellar_item_policy(nav, 0x659), lambda emu, s: s.hearts > 0 and emu.byte(0x659) >= 2 and s.level == 9 and s.mode == 5, 40
589	g9_20	311	9	20	cross Down -> room 0x20
590	g9_20_st	730	9	75	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
591	g9_pass_61	421	9	61	passage_policy, lambda emu, s: s.hearts > 0 and s.level == 9 and s.mode == 5 and s.room == 0x61, 30
592	g9_51	257	9	51	cross Up -> room 0x51
593	g9_41	591	9	41	cross Up -> room 0x41
594	g9_31	382	9	31	cross Up -> room 0x31
595	g9_30	465	9	30	"lambda nav: open_or_bomb_policy(nav, ""Left"", 0x30), lambda emu, s: s.hearts > 0 and s.room == 0x30 and s.level == 9, 40"
596	g9_30_st	1103	9	67	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
597	g9_pass_30	379	9	04	passage_policy, lambda emu, s: s.hearts > 0 and s.level == 9 and s.mode == 5 and s.room != 0x30, 30
598	g9_04_bomb	98	9	04	bomb_drop_policy, ok(0x04, bombs=1), 40
599	g9_03	749	9	03	"lambda nav: open_or_bomb_policy(nav, ""Left"", 0x03), lambda emu, s: s.hearts > 0 and s.room == 0x03 and s.level == 9 and s.mode == 5, 40"
600	g9_03_st	754	9	77	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
601	g9_pass_03	389	9	52	passage_policy, lambda emu, s: s.hearts > 0 and s.level == 9 and s.mode == 5 and s.room != 0x03, 30
602	g9_52_patra	541	9	52	lambda nav: make_lafight_policy(nav, None), lambda emu, s: s.hearts > 0 and s.room == 0x52 and emu.byte(0x34D) != 0, 30
603	g9_42	265	9	42	cross Up -> room 0x42
604	g9_ganon	937	9	42	ganon_policy, lambda emu, s: s.hearts > 0 and s.room == 0x42 and ganon_dead(emu), 20
605	g9_power	223	9	42	take_triforce_policy, lambda emu, s: s.hearts > 0 and s.room == 0x42 and read_room_item(emu) is None, 20
606	g9_32	267	9	32	"lambda nav: walk_out_policy(nav, ""Up"", 0x32), lambda emu, s: s.hearts > 0 and s.room == 0x32 and s.mode == 5, 20"
607	g9_zelda	107	9	32	zelda_policy, lambda emu, s: emu.byte(0x12) == 0x13, 20
608	g9_credits	3002	9	32	credits_policy, lambda emu, s: emu.byte(0x12) == 0x13 and emu.byte(0x13) == 4, 3
